point_id,original_x,original_y,original_z,local_x,local_y,local_z,source_layer,source_handle,is_outlier
P00001,241676.2776,278222.223,27.938,-1734.678,-2688.5797,27.938,9-지형-POINT,3929B,False
P00002,241691.5646,278255.831,27.423,-1719.391,-2654.9717,27.423,9-지형-POINT,3929C,False
P00003,241631.5076,278217.041,34.07,-1779.448,-2693.7617,34.07,9-지형-POINT,3929D,False
P00004,241680.4496,278140.049,33.684,-1730.506,-2770.7537,33.684,9-지형-POINT,3929E,False
P00005,241653.5296,278086.035,36.71,-1757.426,-2824.7677,36.71,9-지형-POINT,3929F,False
P00006,241623.7646,278073.691,37.345,-1787.191,-2837.1117,37.345,9-지형-POINT,392A0,False
P00007,241581.9756,278024.471,34.543,-1828.98,-2886.3317,34.543,9-지형-POINT,392A1,False
P00008,241543.0516,277966.63,28.645,-1867.904,-2944.1727,28.645,9-지형-POINT,392A2,False
P00009,241512.7196,277944.312,26.078,-1898.236,-2966.4907,26.078,9-지형-POINT,392A3,False
P00010,241463.4866,277914.517,24.689,-1947.469,-2996.2857,24.689,9-지형-POINT,392A4,False
P00011,241380.0786,277943.477,32.866,-2030.877,-2967.3257,32.866,9-지형-POINT,392A5,False
P00012,241299.9596,277978.847,29.798,-2110.996,-2931.9557,29.798,9-지형-POINT,392A6,False
P00013,241243.7956,277986.697,25.06,-2167.16,-2924.1057,25.06,9-지형-POINT,392A7,False
P00014,241231.3706,277995.803,24.896,-2179.585,-2914.9997,24.896,9-지형-POINT,392A8,False
P00015,241200.6256,277989.777,16.36,-2210.33,-2921.0257,16.36,9-지형-POINT,392A9,False
P00016,241251.5116,278040.791,16.916,-2159.444,-2870.0117,16.916,9-지형-POINT,392AA,False
P00017,241274.2856,278085.202,17.66,-2136.67,-2825.6007,17.66,9-지형-POINT,392AB,False
P00018,241296.3736,278139.49,18.314,-2114.582,-2771.3127,18.314,9-지형-POINT,392AC,False
P00019,241328.4046,278176.491,27.85,-2082.551,-2734.3117,27.85,9-지형-POINT,392AD,False
P00020,241343.8716,278181.63,27.272,-2067.084,-2729.1727,27.272,9-지형-POINT,392AE,False
P00021,241606.4116,278191.59,37.924,-1804.544,-2719.2127,37.924,9-지형-POINT,392AF,False
P00022,241545.1016,278152.531,41.738,-1865.854,-2758.2717,41.738,9-지형-POINT,392B0,False
P00023,241490.2076,278131.779,39.548,-1920.748,-2779.0237,39.548,9-지형-POINT,392B1,False
P00024,241393.3156,278134.584,36.827,-2017.64,-2776.2187,36.827,9-지형-POINT,392B2,False
P00025,241351.0356,278081.284,35.805,-2059.92,-2829.5187,35.805,9-지형-POINT,392B3,False
P00026,241343.2276,278021.624,39.544,-2067.728,-2889.1787,39.544,9-지형-POINT,392B4,False
P00027,241666.9096,278222.808,27.65,-1744.046,-2687.9947,27.65,9-지형-POINT,392B5,False
P00028,241692.7496,278260.268,27.34,-1718.206,-2650.5347,27.34,9-지형-POINT,392B7,False
