point_id,local_x,local_y,local_z,original_z,source_layer,source_handle,is_outlier
P00001,-1734.678,-2688.5797,27.938,27.938,9-지형-POINT,3929B,False
P00002,-1719.391,-2654.9717,27.423,27.423,9-지형-POINT,3929C,False
P00003,-1779.448,-2693.7617,34.07,34.07,9-지형-POINT,3929D,False
P00004,-1730.506,-2770.7537,33.684,33.684,9-지형-POINT,3929E,False
P00005,-1757.426,-2824.7677,36.71,36.71,9-지형-POINT,3929F,False
P00006,-1787.191,-2837.1117,37.345,37.345,9-지형-POINT,392A0,False
P00007,-1828.98,-2886.3317,34.543,34.543,9-지형-POINT,392A1,False
P00008,-1867.904,-2944.1727,28.645,28.645,9-지형-POINT,392A2,False
P00009,-1898.236,-2966.4907,26.078,26.078,9-지형-POINT,392A3,False
P00010,-1947.469,-2996.2857,24.689,24.689,9-지형-POINT,392A4,False
P00011,-2030.877,-2967.3257,32.866,32.866,9-지형-POINT,392A5,False
P00012,-2110.996,-2931.9557,29.798,29.798,9-지형-POINT,392A6,False
P00013,-2167.16,-2924.1057,25.06,25.06,9-지형-POINT,392A7,False
P00014,-2179.585,-2914.9997,24.896,24.896,9-지형-POINT,392A8,False
P00015,-2210.33,-2921.0257,16.36,16.36,9-지형-POINT,392A9,False
P00016,-2159.444,-2870.0117,16.916,16.916,9-지형-POINT,392AA,False
P00017,-2136.67,-2825.6007,17.66,17.66,9-지형-POINT,392AB,False
P00018,-2114.582,-2771.3127,18.314,18.314,9-지형-POINT,392AC,False
P00019,-2082.551,-2734.3117,27.85,27.85,9-지형-POINT,392AD,False
P00020,-2067.084,-2729.1727,27.272,27.272,9-지형-POINT,392AE,False
P00021,-1804.544,-2719.2127,37.924,37.924,9-지형-POINT,392AF,False
P00022,-1865.854,-2758.2717,41.738,41.738,9-지형-POINT,392B0,False
P00023,-1920.748,-2779.0237,39.548,39.548,9-지형-POINT,392B1,False
P00024,-2017.64,-2776.2187,36.827,36.827,9-지형-POINT,392B2,False
P00025,-2059.92,-2829.5187,35.805,35.805,9-지형-POINT,392B3,False
P00026,-2067.728,-2889.1787,39.544,39.544,9-지형-POINT,392B4,False
P00027,-1744.046,-2687.9947,27.65,27.65,9-지형-POINT,392B5,False
P00028,-1718.206,-2650.5347,27.34,27.34,9-지형-POINT,392B7,False
P00029,-1710.736,-2664.0447,27.58,27.58,9-지형-POINT,392B9,False
P00030,-1719.966,-2654.6647,27.37,27.37,9-지형-POINT,392BB,False
P00031,-1744.896,-2686.1247,26.66,26.66,9-지형-POINT,392BD,False
P00032,-1722.346,-2661.0747,27.45,27.45,9-지형-POINT,392BF,False
P00033,-1716.866,-2681.0547,27.88,27.88,9-지형-POINT,392C1,False
P00034,-1721.956,-2661.4147,27.48,27.48,9-지형-POINT,392C3,False
P00035,-1764.736,-2668.3347,24.78,24.78,9-지형-POINT,392C5,False
P00036,-1724.286,-2666.2647,27.53,27.53,9-지형-POINT,392C7,False
P00037,-1720.246,-2690.1447,28.03,28.03,9-지형-POINT,392C9,False
P00038,-1726.246,-2666.1847,27.31,27.31,9-지형-POINT,392CB,False
P00039,-1728.046,-2665.1647,27.07,27.07,9-지형-POINT,392CD,False
P00040,-1725.316,-2704.9647,28.72,28.72,9-지형-POINT,392CF,False
P00041,-1728.676,-2664.2847,27.04,27.04,9-지형-POINT,392D1,False
P00042,-1728.816,-2663.5647,27.34,27.34,9-지형-POINT,392D3,False
P00043,-1783.626,-2640.7647,24.1,24.1,9-지형-POINT,392D5,False
P00044,-1728.556,-2720.8447,29.69,29.69,9-지형-POINT,392D7,False
P00045,-1725.256,-2660.7947,27.71,27.71,9-지형-POINT,392D9,False
P00046,-1730.186,-2737.3647,30.98,30.98,9-지형-POINT,392DB,False
P00047,-1722.246,-2654.5547,27.6,27.6,9-지형-POINT,392DD,False
P00048,-1729.676,-2756.3847,32.67,32.67,9-지형-POINT,392DF,False
P00049,-1776.886,-2647.1647,24.32,24.32,9-지형-POINT,392E1,False
P00050,-1731.516,-2665.2247,26.53,26.53,9-지형-POINT,392E3,False
P00051,-1735.436,-2665.2147,25.91,25.91,9-지형-POINT,392E5,False
P00052,-1777.056,-2650.9347,24.38,24.38,9-지형-POINT,392E7,False
P00053,-1728.936,-2769.2247,33.41,33.41,9-지형-POINT,392E9,False
P00054,-1735.566,-2664.6447,25.93,25.93,9-지형-POINT,392EB,False
P00055,-1768.476,-2657.6347,24.47,24.47,9-지형-POINT,392ED,False
P00056,-1739.296,-2663.6947,25.27,25.27,9-지형-POINT,392EF,False
P00057,-1766.126,-2659.9647,24.47,24.47,9-지형-POINT,392F1,False
P00058,-1741.006,-2662.2347,24.85,24.85,9-지형-POINT,392F3,False
P00059,-1740.316,-2661.3047,24.62,24.62,9-지형-POINT,392F5,False
P00060,-1737.166,-2661.0547,24.29,24.29,9-지형-POINT,392F7,False
P00061,-1763.386,-2664.7447,24.51,24.51,9-지형-POINT,392F9,False
P00062,-1729.846,-2660.9247,24.33,24.33,9-지형-POINT,392FB,False
P00063,-1760.826,-2665.5947,24.7,24.7,9-지형-POINT,392FD,False
P00064,-1759.246,-2665.5947,24.71,24.71,9-지형-POINT,392FF,False
P00065,-1759.256,-2666.9747,24.78,24.78,9-지형-POINT,39301,False
P00066,-1728.486,-2658.0547,24.24,24.24,9-지형-POINT,39303,False
P00067,-1740.316,-2735.2847,30.99,30.99,9-지형-POINT,39305,False
P00068,-1740.936,-2727.9847,30.39,30.39,9-지형-POINT,39306,False
P00069,-1724.776,-2647.2047,24.25,24.25,9-지형-POINT,39308,False
P00070,-1756.476,-2656.7447,24.45,24.45,9-지형-POINT,3930A,False
P00071,-1742.446,-2651.5247,24.2,24.2,9-지형-POINT,3930C,False
P00072,-1748.286,-2669.2347,25.27,25.27,9-지형-POINT,3930E,False
